SKU,الاسم (Name),التصنيف (Category),السعر EGP (Price),السعر قبل الخصم EGP (Compare-at),الكمية (Quantity),الوصف (Description)
sk-vitc-serum,"سيروم فيتامين C للإشراق","العناية بالبشرة",399,599,100,"وداعاً للبقع الداكنة وبشرة باهتة. سيروم فيتامين C المركّز من ليالي يوحّد لون البشرة ويقلّل البقع الداكنة ويمنحكِ إشراقة صحية تدوم. تركيبة خفيفة سريعة الامتصاص مناسبة للاستخدام اليومي تحت واقي الشمس. المميزات: يوحّد لون البشرة ويقلّل التصبّغات • إشراقة فورية ونضارة ملحوظة • مضاد للأكسدة يحمي من أضرار الشمس • خفيف وسريع الامتصاص بلا لزوجة."
sk-niacinamide,"سيروم نياسيناميد للتحكم بالدهون","العناية بالبشرة",349,499,100,"بشرة مطفية بلا لمعان في الجو الحار. سيروم النياسيناميد 10% يضبط إفراز الدهون ويصغّر المسام ويمنح بشرتكِ مظهراً مطفياً متوازناً طوال اليوم. المميزات: يقلّل اللمعان والدهون الزائدة • يصغّر مظهر المسام الواسعة • يوحّد الملمس والمظهر • يقوّي حاجز البشرة."
sk-moisturizer,"مرطب الهيالورونيك والسيراميد","العناية بالبشرة",449,,100,"ترطيب عميق يقاوم جفاف المكيّفات. مرطب غني بحمض الهيالورونيك والسيراميد يرطّب بعمق ويحبس الترطيب لساعات طويلة دون أي ملمس دهني. المميزات: ترطيب يدوم 24 ساعة • يقوّي حاجز البشرة • ينعّم ويملأ الخطوط الدقيقة • ملمس خفيف غير دهني."
sk-spf50,"واقي الشمس الخفي SPF 50","العناية بالبشرة",379,549,100,"حماية عالية بلا أثر أبيض. واقي شمس بحماية SPF 50 بتركيبة خفيفة شفافة تمتصّها البشرة فوراً، خطوتكِ الأهم ضد التصبّغ وعلامات التقدّم في السن. المميزات: حماية واسعة SPF 50 • بلا أثر أبيض وبلا لزوجة • مناسب كأساس تحت المكياج • يقي من التصبّغ والشيخوخة المبكرة."
fr-hair-mist,"معطر الشعر الفاخر — مسك وعود","العطور ومعطرات الجسم",499,749,100,"رائحة تدوم حتى 12 ساعة. معطر الشعر الفاخر من ليالي بتركيبة غنية بالمسك والعود الراقي يمنح شعركِ رائحة فوّاحة أنيقة تدوم، خالٍ من الكحول المجفّف ويترك خصلاتكِ ناعمة لامعة. المميزات: رائحة فاخرة تدوم طوال اليوم • خالٍ من الكحول المجفّف ومناسب للمحجبات • يرطّب ويضيف لمعاناً للشعر • حجم عملي يناسب حقيبتكِ."
fr-body-mist-set,"طقم معطرات الجسم للتنسيق","العطور ومعطرات الجسم",549,799,100,"نسّقي رائحتكِ المميزة. طقم من معطرات الجسم بأحجام عملية يتيح لكِ تنسيق روائحكِ الخاصة وتجديد انتعاشكِ في أي وقت بتركيبة لطيفة على البشرة. المميزات: 3 روائح متناسقة قابلة للدمج • أحجام سفر عملية • انتعاش يدوم • لطيف على البشرة."
fr-perfume-oil,"زيت عطري مركّز (مخلّط) رول-أون","العطور ومعطرات الجسم",299,,100,"عطر مركّز خالٍ من الكحول. زيت عطري مركّز برائحة المخلّط الشرقي الفاخر بتركيز عالٍ يدوم طويلاً، بعبوة رول-أون أنيقة لإعادة تطبيق سهلة. المميزات: تركيز عالٍ يدوم طويلاً • خالٍ من الكحول ولطيف على البشرة • عبوة رول-أون عملية • رائحة شرقية فاخرة."
fr-abaya-spray,"معطر العباية والأقمشة","العطور ومعطرات الجسم",279,399,100,"عباية منعشة بلا غسيل متكرّر. بخاخ معطّر للأقمشة والعباية يمنح ملابسكِ رائحة فاخرة منعشة تدوم دون أن يترك بقعاً. المميزات: رائحة تدوم على الأقمشة • لا يترك بقعاً • منعش مثالي للأجواء الحارة • اقتصادي وعملي."
mk-foundation,"كريم أساس مطفي ثابت","المكياج",449,649,100,"ثبات يقاوم الحرارة والعرق. كريم أساس بتغطية كاملة ولمسة مطفية يقاوم الحرارة والعرق لساعات طويلة فيمنحكِ بشرة متجانسة لا تذوب ولا تتأكسد. المميزات: ثبات طويل يقاوم العرق والحرارة • تغطية كاملة قابلة للبناء • لمسة مطفية طبيعية • لا يتأكسد ولا يغيّر لونه."
mk-setting-spray,"بخاخ تثبيت المكياج المطفي","المكياج",299,,100,"يثبّت مكياجكِ ضد الرطوبة. بخاخ تثبيت بلمسة مطفية يقفل مكياجكِ ويمنع انتقاله أو ذوبانه ليبقى مثالياً طوال اليوم. المميزات: تثبيت يدوم لساعات • مقاوم للرطوبة والعرق • لمسة مطفية منعشة • يمنع انتقال المكياج."
mk-kohl,"كحل مقاوم للماء واللطخات","المكياج",199,299,100,"عيون مثالية لا تسيل أبداً. كحل أسود كثيف مقاوم للماء واللطخات يمنحكِ عيوناً ساحرة ثابتة طوال اليوم بتركيبة ناعمة سهلة التطبيق. المميزات: لون أسود مكثّف • مقاوم للماء واللطخات • ثبات طوال اليوم • تطبيق ناعم وسلس."
mk-lip-oil,"زيت الشفاه المرطّب الملوّن","المكياج",249,,100,"لمعة طبيعية وترطيب فائق. زيت شفاه مرطّب بلون خفيف يمنح شفتيكِ لمعة طبيعية ساحرة وترطيباً عميقاً يدوم لإطلالة نهارية أنيقة. المميزات: ترطيب عميق يدوم • لون طبيعي بلمعة راقية • ملمس ناعم غير لزج • يغذّي الشفاه."
hc-argan-serum,"سيروم الأرغان لمنع التجعّد","العناية بالشعر",349,499,100,"شعر أملس لامع بلا هيشان. سيروم الأرغان والكيراتين يروّض الهيشان فوراً ويمنح شعركِ نعومة ولمعاناً صحياً مع حماية من الحرارة والرطوبة. المميزات: يمنع التجعّد والهيشان • نعومة ولمعان فوري • حماية من الحرارة • خفيف غير دهني."
hc-hair-mask,"ماسك ترطيب الشعر وفروة الرأس","العناية بالشعر",399,,100,"تغذية عميقة بعد الشمس. ماسك مكثّف يرطّب ويغذّي الشعر وفروة الرأس بعمق ويصلح التلف ويعيد للشعر حيويته من أول استخدام. المميزات: ترطيب وتغذية عميقة • يصلح التلف والجفاف • يهدّئ فروة الرأس • نتائج من أول استخدام."
hc-heatless-curls,"طقم تجعيد الشعر بلا حرارة","العناية بالشعر",279,399,100,"كيرلي ناعم يحمي شعركِ. طقم تجعيد بلا حرارة من الساتان يمنحكِ تموّجات ناعمة طبيعية أثناء النوم فتستيقظين بشعر منسّق صحّي. المميزات: تموّجات بلا حرارة • يحمي الشعر من التلف • خامة ساتان لطيفة • سهل الاستخدام أثناء النوم."
hc-rosemary-oil,"زيت إكليل الجبل لكثافة الشعر","العناية بالشعر",299,449,100,"شعر أكثف وأقوى. زيت إكليل الجبل الغني يحفّز فروة الرأس ويقوّي البصيلات ويعزّز كثافة الشعر ونموّه الصحّي مع الاستخدام المنتظم. المميزات: يحفّز نمو الشعر • يقوّي البصيلات ويقلّل التساقط • يغذّي فروة الرأس • مكوّنات طبيعية."
tl-hair-styler,"مصفّف الشعر الأيوني اللاسلكي","أدوات الجمال والعناية بالجسم",1899,2799,50,"تسريحة صالون في منزلكِ. مصفّف شعر أيوني لاسلكي متعدّد الرؤوس يمنحكِ تنعيماً وتجعيداً احترافياً بتقنية تحمي شعركِ من التلف. المميزات: لاسلكي قابل لإعادة الشحن • رؤوس متعدّدة للتنعيم والتجعيد • تقنية أيونية تقلّل الهيشان • تسخين سريع وآمن."
tl-ice-roller,"رولر التبريد للوجه","أدوات الجمال والعناية بالجسم",249,349,100,"ينعش ويشدّ البشرة فوراً. رولر التبريد يهدّئ البشرة ويقلّل الانتفاخ والهالات ويغلق المسام مع إحساس منعش فوري. المميزات: يقلّل الانتفاخ والهالات • يهدّئ ويغلق المسام • إنعاش فوري للبشرة • سهل الاستخدام يومياً."
tl-ipl,"جهاز إزالة الشعر المنزلي IPL","أدوات الجمال والعناية بالجسم",2499,3499,50,"بشرة ناعمة دائمة في المنزل. جهاز IPL منزلي يقلّل نمو الشعر تدريجياً بنتائج تدوم بخصوصية وراحة وبتكلفة أوفر من الصالون. المميزات: نتائج تدوم مع الاستخدام المنتظم • آمن لمناطق الجسم المختلفة • بخصوصية وراحة منزلكِ • أوفر من الصالون على المدى الطويل."
tl-body-set,"طقم تفتيح وتقشير الجسم","أدوات الجمال والعناية بالجسم",349,499,100,"بشرة موحّدة ناعمة قبل المناسبات. طقم متكامل للتقشير والتفتيح يزيل خلايا الجلد الميت ويوحّد لون بشرة الجسم لنعومة وإشراقة مثالية. المميزات: يقشّر ويزيل الجلد الميت • يوحّد لون بشرة الجسم • نعومة وإشراقة فورية • طقم متكامل بقيمة مميزة."
